names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,cluster
DNM3OS,54.027927,3.3846104,0.0,0.0,0.6620926243567753,0.19016712639948077,0
ACTA2,63.492638,3.369479,0.0,0.0,0.8152701391135555,0.2684931506849315,1
MIR222HG,46.08071,3.362208,0.0,0.0,0.5865415723066969,0.13683409436834093,1
SHROOM3,66.71236,3.3600008,0.0,0.0,0.8505747126436781,0.27046677330231206,2
CDC14A,24.427406,3.3504088,7.559830720508692e-74,9.219305756717916e-73,0.8402777777777778,0.340019204096874,3
SGCD,54.70549,3.3459835,0.0,0.0,0.698399085191538,0.23852020120071393,0
ITGA9,42.46977,3.339061,2.27e-322,1.62e-321,0.5556752873563219,0.10324269303475353,2
OSBPL10,45.94453,3.3365219,1.221512239578667e-154,4.311219669101178e-153,0.9652777777777778,0.44286781179985063,3
TENT5A,69.159065,3.320002,0.0,0.0,0.8829022988505747,0.3167078668023848,2
GPR176,61.565464,3.3112643,0.0,0.0,0.8010352636687156,0.2557077625570776,1
MYO10,40.109028,3.2792165,9.044178990339141e-134,2.401109466461719e-132,0.9548611111111112,0.43699989331057293,3
STARD9,26.80807,3.277535,8.42114811929432e-83,1.1973196378143584e-81,0.8645833333333334,0.3432198869092073,3
HDAC9,93.11573,3.2744367,0.0,0.0,0.9795258620689655,0.4740439144976007,2
NALF1,18.23845,3.2724404,1.6018073640727441e-50,1.2952620194658309e-49,0.7222222222222222,0.25082684305985276,3
GREB1L,41.51039,3.2718036,2.284843168623856e-309,1.609044484946378e-308,0.5448994252873564,0.1122582521448306,2
ENSG00000289884,47.088192,3.2679985,0.0,0.0,0.6218052410223228,0.1506849315068493,1
ARHGAP18,42.41598,3.2565277,1.4249588449465768e-143,4.362118913101766e-142,0.9618055555555556,0.4879974394537501,3
DCLK1,55.028877,3.2525263,0.0,0.0,0.7238421955403087,0.25880253123478825,0
FLNB,27.830366,3.2396147,6.929013400582866e-87,1.03935201008743e-85,0.8819444444444444,0.36711831857462923,3
FMNL3,28.427433,3.2342095,1.9225499551240467e-89,2.9730153945217216e-88,0.8854166666666666,0.34023258295102954,3
WNT5B,51.384937,3.225996,0.0,0.0,0.7076149425287356,0.18540061073142358,2
ATP8B1,70.17383,3.2259662,0.0,0.0,0.8909737948883857,0.39223744292237445,1
CFH,69.97589,3.216864,0.0,0.0,0.8942089938531219,0.3502283105022831,1
KCND2,58.734837,3.2053375,0.0,0.0,0.8372694920737626,0.33059360730593607,1
