"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HMBOX1",4.05127628483339e-272,1.22098909470641,0.727,0.446,1.56403572252278e-267,"1","HMBOX1"
"FASTKD1",6.64757823994082e-271,1.23618220375141,0.53,0.211,2.56636405531155e-266,"1","FASTKD1"
"TRIM2",7.80775652646984e-269,1.17951852104861,0.618,0.292,3.01426248460894e-264,"1","TRIM2"
"PHACTR1",1.52700726462103e-267,1.51498093287088,0.582,0.28,5.89516424579594e-263,"1","PHACTR1"
"RNPC3",1.9699526942759e-266,1.12995131918714,0.684,0.369,7.60519937152152e-262,"1","RNPC3"
"HMGN1",7.59001871359539e-260,1.00424828449544,0.641,0.299,2.93020262457064e-255,"1","HMGN1"
"CHKA",2.26022510188307e-259,1.16610277623105,0.58,0.254,8.72582502832979e-255,"1","CHKA"
"ADAM19",5.10713959139625e-259,1.15971746879053,0.61,0.28,1.97166231065444e-254,"1","ADAM19"
"DCLK2",7.39497687478427e-259,1.20146324927982,0.577,0.255,2.85490477227921e-254,"1","DCLK2"
"MACROH2A1",8.62533732084513e-258,1.02852505889382,0.699,0.381,3.32989772608547e-253,"1","MACROH2A1"
"FCHSD2",1.03586904475754e-255,1.09554909035475,0.732,0.452,3.99907603419097e-251,"1","FCHSD2"
"BACH2",3.17338813289323e-253,1.28287875796449,0.545,0.237,1.22511822258476e-248,"1","BACH2"
"ST7",9.52198640958576e-253,1.13731695690485,0.563,0.244,3.67605807328468e-248,"1","ST7"
"IVNS1ABP",9.49867149751318e-247,1.16222175340241,0.5,0.196,3.66705711832994e-242,"1","IVNS1ABP"
"UGP2",4.35118665627112e-246,1.03252183561573,0.727,0.431,1.67981912052003e-241,"1","UGP2"
"ZNF608",7.79251451641304e-246,1.12938299329814,0.624,0.312,3.00837815420642e-241,"1","ZNF608"
"NFYC",1.51444161726663e-245,1.15388741390148,0.508,0.203,5.84665330761957e-241,"1","NFYC"
"CYRIB",4.37374174335155e-245,1.14866519595112,0.636,0.323,1.6885267374383e-240,"1","CYRIB"
"GHR",6.17582151988746e-245,1.25782069230722,0.642,0.343,2.38423765596775e-240,"1","GHR"
"ENSG00000291015",2.65589533010391e-242,1.04805511513427,0.618,0.297,1.02533495113991e-237,"1","ENSG00000291015"
"TMLHE",5.54934998801796e-242,1.43125034852241,0.521,0.231,2.14238205637422e-237,"1","TMLHE"
"TMEM65",2.17847154581186e-239,1.0694172180672,0.631,0.311,8.41020724976125e-235,"1","TMEM65"
"ZNRF1",1.0789895465077e-238,1.22329638031561,0.501,0.205,4.16554704324764e-234,"1","ZNRF1"
"PLCL2",2.14670317833757e-238,1.06468171520832,0.717,0.423,8.28756229029004e-234,"1","PLCL2"
"TARS3",1.88157033260633e-234,1.10676273224453,0.522,0.219,7.26399042606e-230,"1","TARS3"
"PTPN21",5.62426709875778e-229,1.03736391004551,0.65,0.343,2.17130455614643e-224,"1","PTPN21"
"CNKSR3",1.32783420807424e-228,1.10762517611924,0.539,0.24,5.12623674369139e-224,"1","CNKSR3"
"LCLAT1",6.98044622454581e-227,1.00037705595652,0.61,0.295,2.69487106944816e-222,"1","LCLAT1"
"OPHN1",7.14965994353931e-227,1.42161186928096,0.576,0.288,2.76019771780279e-222,"1","OPHN1"
"KIF9-AS1",1.19735560187293e-225,1.0599947342416,0.555,0.256,4.62251103659064e-221,"1","KIF9-AS1"
"DENND5A",2.02076817433968e-225,1.01016428717277,0.721,0.435,7.80137761385576e-221,"1","DENND5A"
"TOM1L2",3.39239630600327e-225,1.03308498313153,0.618,0.309,1.30966851789562e-220,"1","TOM1L2"
"NXN",7.93772950145159e-224,1.05076817539384,0.518,0.22,3.0644398513304e-219,"1","NXN"
"ENSG00000258526",1.78776685834848e-223,1.18827053608466,0.565,0.271,6.90185273334013e-219,"1","ENSG00000258526"
"PATJ",6.88774249144636e-218,1.04924161287115,0.519,0.225,2.65908186624778e-213,"1","PATJ"
"MIR181A2HG",5.42683137897207e-215,1.07460918302391,0.505,0.217,2.09508252216596e-210,"1","MIR181A2HG"
"CREB5",3.39350554697826e-212,1.10715054708536,0.644,0.368,1.31009675146643e-207,"1","CREB5"
"TSC22D2",1.43633519693164e-211,1.02206509153366,0.698,0.427,5.5451156612743e-207,"1","TSC22D2"
"ADAMTS6",7.26147112501709e-208,1.38086030333214,0.62,0.364,2.8033635425241e-203,"1","ADAMTS6"
"EPB41L4A",1.44619059197752e-200,1.00765489892688,0.578,0.288,5.58316339938841e-196,"1","EPB41L4A"
"MLLT3",3.55271235355885e-200,1.04164842331612,0.679,0.409,1.37156013121493e-195,"1","MLLT3"
"PIK3R1",4.49463384645033e-200,1.03905864784186,0.639,0.355,1.73519834276061e-195,"1","PIK3R1"
"FRMD5",1.2226960217882e-180,1.00660856778123,0.65,0.381,4.72034026171552e-176,"1","FRMD5"
"SIPA1L1",1.32688431055756e-109,1.00815348259883,0.719,0.553,5.12256956933852e-105,"1","SIPA1L1"
"VGLL3",0,1.53165132063577,0.751,0.322,0,"2","VGLL3"
"CEMIP",0,1.75908100176208,0.912,0.495,0,"2","CEMIP"
"SERPINE1",0,1.41603182717045,0.841,0.428,0,"2","SERPINE1"
"DDAH1",0,2.071150147949,0.852,0.462,0,"2","DDAH1"
"NRK",0,1.88921442494024,0.719,0.347,0,"2","NRK"
"EFEMP1",0,1.23601920875987,0.896,0.528,0,"2","EFEMP1"
"LMCD1",0,1.72253233735423,0.735,0.38,0,"2","LMCD1"
"CRIM1",0,1.48429612731113,0.896,0.543,0,"2","CRIM1"
"SVEP1",0,1.47665236088864,0.819,0.478,0,"2","SVEP1"
"CCDC80",0,1.05262685578959,0.935,0.605,0,"2","CCDC80"
"MID1",0,1.90230032264077,0.889,0.654,0,"2","MID1"
"USP53",0,1.40055106041523,0.852,0.632,0,"2","USP53"
"MYH10",0,1.38800270138424,0.931,0.722,0,"2","MYH10"
"NAV2",0,1.35325315415407,0.867,0.66,0,"2","NAV2"
"LMO7",0,1.23614794206123,0.872,0.665,0,"2","LMO7"
"GLS",0,1.02114768404774,0.934,0.844,0,"2","GLS"
"CALD1",0,1.15537976921575,0.993,0.98,0,"2","CALD1"
"THBS1",3.11053134203691e-309,1.12566287051198,0.829,0.484,1.20085172990677e-304,"2","THBS1"
"BCL10-AS1",5.03993375896523e-308,1.88028008075734,0.529,0.199,1.94571682698612e-303,"2","BCL10-AS1"
"ITGBL1",1.0286024321181e-298,1.41890783453552,0.618,0.251,3.97102254943512e-294,"2","ITGBL1"
"PARD3B",8.46541727589204e-293,1.24170943716292,0.844,0.686,3.26815899353088e-288,"2","PARD3B"
"SGK1",1.32867631279616e-291,1.55244947431895,0.573,0.227,5.12948777318087e-287,"2","SGK1"
"PKP4",3.42131839032626e-291,1.56397648260765,0.731,0.502,1.32083417776935e-286,"2","PKP4"
"GLIS3",9.11470554972171e-291,1.12020882142337,0.858,0.656,3.51882322452556e-286,"2","GLIS3"
"NEGR1",3.37781628409689e-289,1.44175569609789,0.676,0.342,1.30403975463845e-284,"2","NEGR1"
"STAT1",4.6282936866655e-287,1.1853653925922,0.825,0.626,1.78679906067408e-282,"2","STAT1"
"FGF7",1.36962171165567e-286,1.06809587352041,0.837,0.528,5.28756158001789e-282,"2","FGF7"
"ARID5B",6.67153920684003e-284,1.11501583075706,0.832,0.592,2.57561442619266e-279,"2","ARID5B"
"C1orf198",2.01940715323596e-277,1.56122655071612,0.59,0.271,7.79612325578275e-273,"2","C1orf198"
"MYOF",9.49656710340743e-274,1.06286068563644,0.813,0.515,3.66624469594147e-269,"2","MYOF"
"PKD2",1.87677820624079e-267,1.16446908664759,0.804,0.615,7.24548994301318e-263,"2","PKD2"
"DPP4",4.8812892176514e-267,1.18305702320951,0.72,0.363,1.8844705153665e-262,"2","DPP4"
"PRUNE2",3.20816878830789e-263,1.49064475068113,0.552,0.225,1.23854564241414e-258,"2","PRUNE2"
