"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CPEB4",0,1.33992040946807,0.97,0.433,0,"0","CPEB4"
"ENSG00000174171",0,2.18871958989106,0.551,0.015,0,"0","ENSG00000174171"
"GREB1",0,1.22285779282204,0.565,0.032,0,"0","GREB1"
"TRDN-AS1",0,2.11096133258683,0.988,0.458,0,"0","TRDN-AS1"
"LINC02208",0,2.46421599653044,0.797,0.27,0,"0","LINC02208"
"THSD4",0,1.6807068032417,0.982,0.457,0,"0","THSD4"
"COL23A1",0,1.59463879364325,0.559,0.035,0,"0","COL23A1"
"COQ10A",0,1.13908899426102,0.562,0.038,0,"0","COQ10A"
"IP6K3",0,1.69798357305797,0.544,0.021,0,"0","IP6K3"
"AGBL4",0,1.6210424084652,0.589,0.066,0,"0","AGBL4"
"DNAAF3-AS1",0,1.30655848514797,0.546,0.024,0,"0","DNAAF3-AS1"
"MAPT",0,1.89109041231222,0.538,0.022,0,"0","MAPT"
"LINC02248",0,3.68226965575395,0.54,0.025,0,"0","LINC02248"
"ENSG00000286062",0,2.12911435005689,0.847,0.333,0,"0","ENSG00000286062"
"ATP2A2",0,1.47737917181134,0.97,0.456,0,"0","ATP2A2"
"SAMD4A",0,1.3257254680211,0.97,0.458,0,"0","SAMD4A"
"SVIL",0,2.04354729971121,0.985,0.475,0,"0","SVIL"
"SLC16A7",0,1.18584058863005,0.973,0.463,0,"0","SLC16A7"
"ALDH1L1",0,1.91881858993002,0.537,0.029,0,"0","ALDH1L1"
"PERM1",0,2.04955987225163,0.518,0.013,0,"0","PERM1"
"MLIP-AS1",0,1.900532104597,0.527,0.022,0,"0","MLIP-AS1"
"ANKRD1",0,2.54351042663057,0.93,0.427,0,"0","ANKRD1"
"ENSG00000289512",0,3.54015164397614,0.599,0.096,0,"0","ENSG00000289512"
"GATA6-AS1",0,1.29164433925931,0.53,0.027,0,"0","GATA6-AS1"
"LINC00923",0,1.37336073696113,0.594,0.092,0,"0","LINC00923"
"TNNT2",0,2.6012330231142,0.992,0.493,0,"0","TNNT2"
"CPNE4",0,1.55197102760739,0.523,0.024,0,"0","CPNE4"
"CCSER1",0,1.11143673029774,0.98,0.482,0,"0","CCSER1"
"ENSG00000251391",0,2.6834632260011,0.511,0.014,0,"0","ENSG00000251391"
"TOGARAM2",0,2.61187809556585,0.517,0.024,0,"0","TOGARAM2"
"RCAN2",0,1.1519861640434,0.982,0.49,0,"0","RCAN2"
"PCDHGA3",0,1.21536981589155,0.519,0.029,0,"0","PCDHGA3"
"FHIT",0,1.46277554526502,0.985,0.498,0,"0","FHIT"
"TNNI3K",0,1.20337189453452,0.982,0.498,0,"0","TNNI3K"
"ENSG00000286735",0,1.90892014719053,0.503,0.024,0,"0","ENSG00000286735"
"HRH2",0,1.22858948096325,0.502,0.025,0,"0","HRH2"
"HS6ST3",0,3.57825097600218,0.533,0.057,0,"0","HS6ST3"
"SLC2A4",0,1.28873161251595,0.5,0.024,0,"0","SLC2A4"
"CORO6",0,1.4470887971135,0.503,0.027,0,"0","CORO6"
"ERBB4",0,1.1398005172716,0.984,0.511,0,"0","ERBB4"
"ENSG00000287042",0,1.1419138543247,0.508,0.038,0,"0","ENSG00000287042"
"TECRL",0,1.37043943791661,0.986,0.517,0,"0","TECRL"
"NMRK2",0,1.40669466012603,0.511,0.043,0,"0","NMRK2"
"SNAP47",0,1.08300436136786,0.507,0.043,0,"0","SNAP47"
"UGT2B4",0,1.14265031960005,0.501,0.046,0,"0","UGT2B4"
"AKAP6",0,1.44169489680092,0.989,0.535,0,"0","AKAP6"
"FILIP1",0,1.29961904766685,0.981,0.538,0,"0","FILIP1"
"PDK4",0,1.9683309917503,0.982,0.545,0,"0","PDK4"
"CDH2",0,1.56286997841866,0.991,0.555,0,"0","CDH2"
"CACNB2",0,1.13546560955513,0.986,0.552,0,"0","CACNB2"
"MYOM1",0,2.38773466684446,0.993,0.574,0,"0","MYOM1"
"CMYA5",0,2.19490345388155,0.995,0.584,0,"0","CMYA5"
"AOPEP",0,1.20230831483847,0.98,0.577,0,"0","AOPEP"
"LARGE1",0,1.67738440881746,0.982,0.584,0,"0","LARGE1"
"CDIN1",0,1.13376095296424,0.989,0.593,0,"0","CDIN1"
"MYH7",0,1.10229771659644,0.988,0.601,0,"0","MYH7"
"SNHG14",0,1.05133047797813,0.979,0.593,0,"0","SNHG14"
"FHL2",0,2.03997777854631,0.995,0.639,0,"0","FHL2"
"MAP4",0,1.123593442332,0.978,0.629,0,"0","MAP4"
"MLIP",0,1.78461134962768,0.994,0.649,0,"0","MLIP"
"SGCD",0,1.61513025560276,0.994,0.65,0,"0","SGCD"
"DLG2",0,1.14074899393863,0.98,0.637,0,"0","DLG2"
"PALLD",0,2.04824429114403,0.996,0.682,0,"0","PALLD"
"PSD3",0,1.12177845124299,0.981,0.667,0,"0","PSD3"
"NEBL",0,1.69339624896123,0.996,0.689,0,"0","NEBL"
"PPP1R12B",0,1.37762830318803,0.992,0.707,0,"0","PPP1R12B"
"TPM1",0,1.11188235890824,0.994,0.722,0,"0","TPM1"
"CACNA1C",0,2.16966746408819,0.993,0.725,0,"0","CACNA1C"
"CTNNA3",0,1.52716582557147,0.997,0.741,0,"0","CTNNA3"
"MAST4",0,1.61361224787371,0.991,0.745,0,"0","MAST4"
"SORBS1",0,1.50818329243363,0.997,0.764,0,"0","SORBS1"
"FGF12",0,2.02805502547509,0.994,0.778,0,"0","FGF12"
"SORBS2",0,1.65482654763855,0.999,0.798,0,"0","SORBS2"
"RABGAP1L",0,1.0607565902835,0.991,0.793,0,"0","RABGAP1L"
"DST",0,1.02205784782415,0.994,0.819,0,"0","DST"
"ABLIM1",0,1.48884557245184,0.998,0.824,0,"0","ABLIM1"
